year,px,py,tachid,ekid
1999,139.3746153,35.73229223,5.781259831,0.873760281
2000,139.3746153,35.73229223,5.781259831,0.873760281
2001,139.3746153,35.73229223,5.781259831,0.873760281
2002,139.3746153,35.73229223,5.781259831,0.873760281
2003,139.3746153,35.73229223,5.781259831,0.873760281
2004,139.3746153,35.73229223,5.781259831,0.873760281
2005,139.3746153,35.73229223,5.781259831,0.873760281
2006,139.3746153,35.73229223,5.781259831,0.873760281
2007,139.3746153,35.73229223,5.781259831,0.873760281
2008,139.3746153,35.73229223,5.781259831,0.873760281
1999,139.3746153,35.7362182,6.077726238,1.242853489
2000,139.3746153,35.7362182,6.077726238,1.242853489
2001,139.3746153,35.7362182,6.077726238,1.242853489
2002,139.3746153,35.7362182,6.077726238,1.242853489
2003,139.3746153,35.7362182,6.077726238,1.242853489
2004,139.3746153,35.7362182,6.077726238,1.242853489
2005,139.3746153,35.7362182,6.077726238,1.242853489
2006,139.3746153,35.7362182,6.077726238,1.242853489
2007,139.3746153,35.7362182,6.077726238,1.242853489
2008,139.3746153,35.7362182,6.077726238,1.242853489
1999,139.3786679,35.64592075,6.961585496,0.205748313
2000,139.3786679,35.64592075,6.961585496,0.205748313
2001,139.3786679,35.64592075,6.961585496,0.205748313
2002,139.3786679,35.64592075,6.961585496,0.205748313
2003,139.3786679,35.64592075,6.961585496,0.205748313
2004,139.3786679,35.64592075,6.961585496,0.205748313
2005,139.3786679,35.64592075,6.961585496,0.205748313
2006,139.3786679,35.64592075,6.961585496,0.205748313
2007,139.3786679,35.64592075,6.961585496,0.205748313
2008,139.3786679,35.64592075,6.961585496,0.205748313
1999,139.3786679,35.64984673,6.604812616,0.312790716
2000,139.3786679,35.64984673,6.604812616,0.312790716
2001,139.3786679,35.64984673,6.604812616,0.312790716
2002,139.3786679,35.64984673,6.604812616,0.312790716
2003,139.3786679,35.64984673,6.604812616,0.312790716
2004,139.3786679,35.64984673,6.604812616,0.312790716
2005,139.3786679,35.64984673,6.604812616,0.312790716
2006,139.3786679,35.64984673,6.604812616,0.312790716
2007,139.3786679,35.64984673,6.604812616,0.312790716
2008,139.3786679,35.64984673,6.604812616,0.312790716
1999,139.3786679,35.6537727,6.258054094,0.705857344
2000,139.3786679,35.6537727,6.258054094,0.705857344
2001,139.3786679,35.6537727,6.258054094,0.705857344
2002,139.3786679,35.6537727,6.258054094,0.705857344
2003,139.3786679,35.6537727,6.258054094,0.705857344
2004,139.3786679,35.6537727,6.258054094,0.705857344
2005,139.3786679,35.6537727,6.258054094,0.705857344
2006,139.3786679,35.6537727,6.258054094,0.705857344
2007,139.3786679,35.6537727,6.258054094,0.705857344
2008,139.3786679,35.6537727,6.258054094,0.705857344
1999,139.3786679,35.65769868,5.923069024,0.369758088
2000,139.3786679,35.65769868,5.923069024,0.369758088
2001,139.3786679,35.65769868,5.923069024,0.369758088
2002,139.3786679,35.65769868,5.923069024,0.369758088
2003,139.3786679,35.65769868,5.923069024,0.369758088
2004,139.3786679,35.65769868,5.923069024,0.369758088
2005,139.3786679,35.65769868,5.923069024,0.369758088
2006,139.3786679,35.65769868,5.923069024,0.369758088
2007,139.3786679,35.65769868,5.923069024,0.369758088
2008,139.3786679,35.65769868,5.923069024,0.369758088
1999,139.3786679,35.66162465,5.601969881,0.393728035
2000,139.3786679,35.66162465,5.601969881,0.393728035
2001,139.3786679,35.66162465,5.601969881,0.393728035
2002,139.3786679,35.66162465,5.601969881,0.393728035
2003,139.3786679,35.66162465,5.601969881,0.393728035
2004,139.3786679,35.66162465,5.601969881,0.393728035
2005,139.3786679,35.66162465,5.601969881,0.393728035
2006,139.3786679,35.66162465,5.601969881,0.393728035
2007,139.3786679,35.66162465,5.601969881,0.393728035
2008,139.3786679,35.66162465,5.601969881,0.393728035
